,date,search_term,interest
186,2022-06-26,insulation,50
187,2022-07-03,insulation,47
188,2022-07-10,insulation,47
189,2022-07-17,insulation,49
190,2022-07-24,insulation,56
191,2022-07-31,insulation,58
192,2022-08-07,insulation,57
193,2022-08-14,insulation,58
194,2022-08-21,insulation,77
195,2022-08-28,insulation,82
196,2022-09-04,insulation,78
197,2022-09-11,insulation,80
198,2022-09-18,insulation,76
199,2022-09-25,insulation,96
200,2022-10-02,insulation,89
201,2022-10-09,insulation,82
202,2022-10-16,insulation,77
203,2022-10-23,insulation,65
204,2022-10-30,insulation,76
205,2022-11-06,insulation,81
206,2022-11-13,insulation,84
207,2022-11-20,insulation,92
208,2018-12-02,efficient heater,14
209,2018-12-09,efficient heater,13
210,2018-12-16,efficient heater,8
211,2018-12-23,efficient heater,5
212,2018-12-30,efficient heater,18
213,2019-01-06,efficient heater,11
214,2019-01-13,efficient heater,30
215,2019-01-20,efficient heater,13
216,2019-01-27,efficient heater,18
217,2019-02-03,efficient heater,13
218,2019-02-10,efficient heater,6
219,2019-02-17,efficient heater,4
220,2019-02-24,efficient heater,6
221,2019-03-03,efficient heater,3
222,2019-03-10,efficient heater,6
223,2019-03-17,efficient heater,0
224,2019-03-24,efficient heater,5
225,2019-03-31,efficient heater,5
226,2019-04-07,efficient heater,0
227,2019-04-14,efficient heater,2
228,2019-04-21,efficient heater,0
229,2019-04-28,efficient heater,0
230,2019-05-05,efficient heater,4
231,2019-05-12,efficient heater,0
232,2019-05-19,efficient heater,5
233,2019-05-26,efficient heater,3
234,2019-06-02,efficient heater,4
235,2019-06-09,efficient heater,5
236,2019-06-16,efficient heater,0
237,2019-06-23,efficient heater,4
238,2019-06-30,efficient heater,4
239,2019-07-07,efficient heater,8
240,2019-07-14,efficient heater,0
241,2019-07-21,efficient heater,2
242,2019-07-28,efficient heater,5
243,2019-08-04,efficient heater,0
244,2019-08-11,efficient heater,4
245,2019-08-18,efficient heater,4
246,2019-08-25,efficient heater,3
247,2019-09-01,efficient heater,9
248,2019-09-08,efficient heater,8
249,2019-09-15,efficient heater,15
250,2019-09-22,efficient heater,5
251,2019-09-29,efficient heater,20
252,2019-10-06,efficient heater,14
253,2019-10-13,efficient heater,12
254,2019-10-20,efficient heater,23
255,2019-10-27,efficient heater,24
256,2019-11-03,efficient heater,16
257,2019-11-10,efficient heater,30
258,2019-11-17,efficient heater,26
259,2019-11-24,efficient heater,12
260,2019-12-01,efficient heater,14
261,2019-12-08,efficient heater,12
262,2019-12-15,efficient heater,14
263,2019-12-22,efficient heater,5
264,2019-12-29,efficient heater,8
265,2020-01-05,efficient heater,8
266,2020-01-12,efficient heater,13
267,2020-01-19,efficient heater,8
268,2020-01-26,efficient heater,9
269,2020-02-02,efficient heater,9
270,2020-02-09,efficient heater,0
271,2020-02-16,efficient heater,7
272,2020-02-23,efficient heater,6
273,2020-03-01,efficient heater,0
274,2020-03-08,efficient heater,6
275,2020-03-15,efficient heater,0
276,2020-03-22,efficient heater,4
277,2020-03-29,efficient heater,2
278,2020-04-05,efficient heater,0
279,2020-04-12,efficient heater,3
280,2020-04-19,efficient heater,2
281,2020-04-26,efficient heater,4
282,2020-05-03,efficient heater,3
283,2020-05-10,efficient heater,4
284,2020-05-17,efficient heater,0
285,2020-05-24,efficient heater,4
286,2020-05-31,efficient heater,4
287,2020-06-07,efficient heater,3
288,2020-06-14,efficient heater,2
289,2020-06-21,efficient heater,6
290,2020-06-28,efficient heater,0
291,2020-07-05,efficient heater,3
292,2020-07-12,efficient heater,4
293,2020-07-19,efficient heater,5
294,2020-07-26,efficient heater,2
295,2020-08-02,efficient heater,2
296,2020-08-09,efficient heater,8
297,2020-08-16,efficient heater,8
298,2020-08-23,efficient heater,3
299,2020-08-30,efficient heater,12
300,2020-09-06,efficient heater,8
301,2020-09-13,efficient heater,0
302,2020-09-20,efficient heater,22
303,2020-09-27,efficient heater,26
304,2020-10-04,efficient heater,18
305,2020-10-11,efficient heater,29
