Database
Item code,ISO code,Unit,Year,Value,Source Code,Note,Title
toccfreschc,BG,Mtoe,1990,1.5175,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,1991,1.4513,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,1992,1.4955,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,1993,1.5396,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,1994,1.4955,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,1995,1.3033,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,1996,1.4579,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,1997,1.3287,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,1998,1.5095,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,1999,1.4649,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2000,1.4283,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2001,1.2675,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2002,1.4366,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2003,1.3460,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2004,1.3793,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2005,1.3151,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2006,1.3690,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2007,1.4366,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2008,1.4629,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2009,1.4945,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2010,1.4769,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2011,1.4400,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2012,1.5455,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2013,1.5544,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2014,1.5001,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2015,1.5521,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2016,1.5719,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2017,1.5406,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2018,1.5631,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2019,1.6196,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,BG,Mtoe,2020,n.a.,Calculated,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1990,1.5304,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1991,1.4600,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1992,1.4261,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1993,1.3941,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1994,1.4364,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1995,1.4572,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1996,1.5443,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1997,1.5621,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1998,1.5987,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,1999,1.7236,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2000,1.7305,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2001,1.7501,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2002,1.8680,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2003,1.7908,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2004,1.8406,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2005,1.7967,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2006,1.8285,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2007,1.8621,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2008,1.8353,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2009,1.8561,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2010,1.7760,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2011,1.8174,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2012,1.7621,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2013,1.7311,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2014,1.8459,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2015,1.7782,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2016,1.7140,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2017,1.6797,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2018,1.6946,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2019,1.6970,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,HR,Mtoe,2020,n.a.,EIHP,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1990,n.a.,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1991,0.0568,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1992,0.0471,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1993,0.0591,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1994,0.0766,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1995,0.0741,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1996,0.0867,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1997,0.0824,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1998,0.0988,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,1999,0.1145,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2000,0.1009,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2001,0.1378,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2002,0.1331,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2003,0.1196,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2004,0.1028,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2005,0.1102,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2006,0.1123,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2007,0.0933,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2008,0.1101,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2009,0.1185,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2010,0.0871,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2011,0.1042,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2012,0.1035,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2013,0.1076,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2014,0.1196,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2015,0.1096,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2016,0.1172,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2017,0.1171,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2018,0.1324,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2019,0.1413,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CY,Mtoe,2020,n.a.,ODYSSEE,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1990,6.0091,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1991,5.0449,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1992,5.0049,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1993,4.6303,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1994,5.0423,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1995,4.7921,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1996,4.8654,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1997,5.0485,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1998,4.8883,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,1999,5.0026,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2000,5.1661,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2001,5.1052,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2002,5.1863,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2003,5.1202,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2004,4.9930,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2005,4.7148,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2006,4.9549,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2007,4.8712,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2008,4.9089,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2009,4.8669,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2010,4.9852,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2011,5.1611,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2012,5.1608,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2013,5.1281,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2014,5.1763,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2015,5.0606,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2016,4.9632,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2017,4.9483,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2018,5.2997,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2019,5.2657,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,CZ,Mtoe,2020,n.a.,ENVIROSMPOCZSO,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1990,3.9246,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1991,3.8053,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1992,3.8827,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1993,3.8204,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1994,3.9395,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1995,3.9037,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1996,3.6839,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1997,3.9681,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1998,3.9544,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,1999,3.9654,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2000,3.9007,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2001,3.7345,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2002,3.8861,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2003,3.8484,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2004,3.8531,DEA,,Final consumption of residential for space heating with climatic corrections
toccfreschc,DK,Mtoe,2005,3.9087,DEA,,Final consumption of residential for space heating with climatic corrections
