,Lifter,Date,variable,value
104,Rob Escalante,07/23/2022,points_ipf_gl,102.56
105,Cole Waggoner,03/19/2022,points_ipf_gl,102.51
106,Steven Coburn,10/15/2022,points_ipf_gl,102.5
107,Jhonson Solano,03/06/2022,points_ipf_gl,102.46
108,Mikay Ye,06/08/2022,points_ipf_gl,102.46
109,Quentin Nunez,06/08/2022,points_ipf_gl,102.44
110,Wesley Cheng,02/12/2022,points_ipf_gl,102.44
111,Vincent Victorero,06/08/2022,points_ipf_gl,102.43
112,Sol Na,06/08/2022,points_ipf_gl,102.43
113,Braxton Davis,06/25/2022,points_ipf_gl,102.4
114,Michael Coladipietro,02/20/2022,points_ipf_gl,102.34
115,Edward Taylor,03/05/2022,points_ipf_gl,102.23
116,Lawrence Hinson,03/30/2022,points_ipf_gl,102.17
117,Kevin Garrette,03/26/2022,points_ipf_gl,102.16
118,Nicholas Lombardi,10/15/2022,points_ipf_gl,102.15
119,Blake Atwell,06/08/2022,points_ipf_gl,102.14
120,Garry Mendez,04/02/2022,points_ipf_gl,101.92
121,Edwin McQuiston,09/24/2022,points_ipf_gl,101.92
122,Jefferson Shue,04/02/2022,points_ipf_gl,101.82
123,William Waller,05/29/2022,points_ipf_gl,101.75
124,Michael Astrologo,06/08/2022,points_ipf_gl,101.73
125,Alex Lau,06/08/2022,points_ipf_gl,101.72
126,Vince Bualoy,08/13/2022,points_ipf_gl,101.72
127,Nathen Pangaldan,06/08/2022,points_ipf_gl,101.64
128,Tyler Drahem,09/24/2022,points_ipf_gl,101.62
129,Kaleb Miller,01/22/2022,points_ipf_gl,101.57
130,Michael Ayles,10/15/2022,points_ipf_gl,101.55
131,Jeffrey Leung,03/26/2022,points_ipf_gl,101.54
132,Ronnie Cormier,09/25/2022,points_ipf_gl,101.49
133,Evan Judice,06/08/2022,points_ipf_gl,101.48
134,Jason Bongard,06/08/2022,points_ipf_gl,101.47
135,James Vang,03/05/2022,points_ipf_gl,101.35
136,Tony Nguyen,09/24/2022,points_ipf_gl,101.3
137,William Lai,08/20/2022,points_ipf_gl,101.27
138,Dustin Limerick,03/23/2022,points_ipf_gl,101.26
139,Dedreck Rucker,03/06/2022,points_ipf_gl,101.19
140,Hung Phan,09/10/2022,points_ipf_gl,101.15
141,De’Metre Forney,04/09/2022,points_ipf_gl,101.1
142,Donavin Spears,03/23/2022,points_ipf_gl,101.09
143,Nico Flores,04/30/2022,points_ipf_gl,101.09
144,Hunter Reaux,10/15/2022,points_ipf_gl,101.09
145,Jeff Docena,01/22/2022,points_ipf_gl,101.07
146,Jason Cambra,03/26/2022,points_ipf_gl,101.04
147,James Peavey,02/26/2022,points_ipf_gl,101.01
148,Jordan McKinley,03/23/2022,points_ipf_gl,100.99
149,Christopher Greene,06/08/2022,points_ipf_gl,100.93
150,Chad Schroeder,06/18/2022,points_ipf_gl,100.92
151,noah Urbanski,03/30/2022,points_ipf_gl,100.87
152,Patrick Klaus,10/15/2022,points_ipf_gl,100.84
153,Darryl Webster,02/19/2022,points_ipf_gl,100.82
154,Tonggyu Kim,10/08/2022,points_ipf_gl,100.81
155,Joey Correia,06/08/2022,points_ipf_gl,100.76
156,Sawyer Klatt,03/30/2022,points_ipf_gl,100.74
157,Chad Odsey,09/10/2022,points_ipf_gl,100.74
158,Matthias Cash,07/23/2022,points_ipf_gl,100.74
159,Carlos Lucio,08/20/2022,points_ipf_gl,100.7
160,Chance Brady,01/22/2022,points_ipf_gl,100.7
