,Lifter,Date,variable,value
452,Nick Sparks,09/25/2022,points_ipf_gl,94.07
453,Dean Ippolito,10/09/2022,points_ipf_gl,94.06
454,Jan Astorga,04/16/2022,points_ipf_gl,94.06
455,Nathan Webster,10/01/2022,points_ipf_gl,94.04
456,Jalen Allamby,10/15/2022,points_ipf_gl,94.02
457,Justin Ngo,04/23/2022,points_ipf_gl,94.01
458,Troy Thompson,03/05/2022,points_ipf_gl,94.01
459,Bradon Gulch,01/22/2022,points_ipf_gl,94.01
460,Taylor Moorman,04/23/2022,points_ipf_gl,94.0
461,Brandin Carballo,03/26/2022,points_ipf_gl,93.94
462,Zachary Arnold,03/26/2022,points_ipf_gl,93.9
463,Sean Despres,06/18/2022,points_ipf_gl,93.89
464,Joshua Brame,02/26/2022,points_ipf_gl,93.88
465,Bryan Aguada,07/23/2022,points_ipf_gl,93.85
466,Matthew Spohr,10/01/2022,points_ipf_gl,93.85
467,Thien Chu,03/06/2022,points_ipf_gl,93.84
468,Solomon Kim,07/30/2022,points_ipf_gl,93.84
469,Johnathan Escoffrey,01/22/2022,points_ipf_gl,93.83
470,John Gonzaba,06/08/2022,points_ipf_gl,93.82
471,Clayton Cuddington,05/01/2022,points_ipf_gl,93.82
472,Quentin White,08/13/2022,points_ipf_gl,93.8
473,Zack Berezay,03/26/2022,points_ipf_gl,93.71
474,Keontre Walker,04/09/2022,points_ipf_gl,93.71
475,Rodney Alexander,03/19/2022,points_ipf_gl,93.71
476,John Paul Arreglado,04/02/2022,points_ipf_gl,93.7
477,Brock Wetzlich,03/26/2022,points_ipf_gl,93.69
478,Averil Royal,06/08/2022,points_ipf_gl,93.68
479,Juneau Catalano,08/13/2022,points_ipf_gl,93.67
480,Charles Hammonds Jr,06/25/2022,points_ipf_gl,93.67
481,Sion Farley-Thompson,03/26/2022,points_ipf_gl,93.64
482,Lucas Young,08/13/2022,points_ipf_gl,93.63
483,Brandon Ragoonath,03/26/2022,points_ipf_gl,93.62
484,Clifford David,08/13/2022,points_ipf_gl,93.6
485,Samuel Kinard,10/08/2022,points_ipf_gl,93.56
486,Peter Esset,07/30/2022,points_ipf_gl,93.55
487,Ian Covell,04/23/2022,points_ipf_gl,93.52
488,John Nickl,07/23/2022,points_ipf_gl,93.5
489,Shakeel Holman,06/08/2022,points_ipf_gl,93.47
490,James Tompkins,07/23/2022,points_ipf_gl,93.45
491,Taj Wellington,05/21/2022,points_ipf_gl,93.44
492,Alex Mostacero,06/08/2022,points_ipf_gl,93.41
493,Jacob Juska,03/30/2022,points_ipf_gl,93.41
494,JeQuille Lyles,04/30/2022,points_ipf_gl,93.38
495,Antonio Yharbrough,06/08/2022,points_ipf_gl,93.37
496,Peter Ou,03/26/2022,points_ipf_gl,93.37
497,James Ronyak,02/12/2022,points_ipf_gl,93.34
498,Evan Hawk,07/02/2022,points_ipf_gl,93.34
499,Michael Jones,04/23/2022,points_ipf_gl,93.34
500,Ricky Zheng,09/03/2022,points_ipf_gl,93.32
501,Faruk Yucel,07/30/2022,points_ipf_gl,93.31
502,Colin Embry,05/07/2022,points_ipf_gl,93.3
503,Tommy Schneider,02/12/2022,points_ipf_gl,93.27
504,Roland Julian Sulit,04/09/2022,points_ipf_gl,93.26
505,Connor Ernst,03/30/2022,points_ipf_gl,93.26
506,Daniel Mello,08/20/2022,points_ipf_gl,93.25
507,Lewis Henneberger,08/13/2022,points_ipf_gl,93.24
508,Jackson Jaeger,03/26/2022,points_ipf_gl,93.22
509,Kevin Chu,06/08/2022,points_ipf_gl,93.2
510,Larenz Webb,09/24/2022,points_ipf_gl,93.2
511,Jonathan Bradfield,04/02/2022,points_ipf_gl,93.19
512,Nick Baldwin,04/09/2022,points_ipf_gl,93.19
513,Andres Reyes,10/15/2022,points_ipf_gl,93.17
514,Elliott Sykes,03/23/2022,points_ipf_gl,93.17
515,Luke Whittenberger,07/23/2022,points_ipf_gl,93.16
516,Kayon Mitchell,07/16/2022,points_ipf_gl,93.13
517,Hamza Ahmed,08/13/2022,points_ipf_gl,93.11
518,Logan Biedermann,03/26/2022,points_ipf_gl,93.1
519,Travis Cooper,05/01/2022,points_ipf_gl,93.09
520,Eddie Suarez,04/30/2022,points_ipf_gl,93.08
521,Zachary Vanderhoff,03/05/2022,points_ipf_gl,93.08
522,Misha Shteyman,07/23/2022,points_ipf_gl,93.08
523,Nikita Koba,02/19/2022,points_ipf_gl,93.07
524,Eddie Lundberg,09/10/2022,points_ipf_gl,93.05
525,Thomas Newell,03/26/2022,points_ipf_gl,93.02
526,Jack Lutze,03/26/2022,points_ipf_gl,93.02
527,Elijah Anderson,04/16/2022,points_ipf_gl,93.0
528,Bryce Siecko,07/16/2022,points_ipf_gl,92.96
529,Edward Alicdan Jr,08/13/2022,points_ipf_gl,92.96
530,Andrew Cain,04/16/2022,points_ipf_gl,92.94
531,Jonathan Rojas,01/15/2022,points_ipf_gl,92.94
532,Devin Gordon,04/09/2022,points_ipf_gl,92.94
533,Brett Ramsey,06/08/2022,points_ipf_gl,92.91
534,Christopher Marchisotto,10/09/2022,points_ipf_gl,92.91
535,Victor Lopez,05/07/2022,points_ipf_gl,92.9
536,Jayson Mull,09/24/2022,points_ipf_gl,92.84
537,Bryce Scott,05/01/2022,points_ipf_gl,92.84
538,Constantine Vasilopoulos,03/26/2022,points_ipf_gl,92.81
539,Donald Phounsavath,03/26/2022,points_ipf_gl,92.8
540,Will Sepe,03/26/2022,points_ipf_gl,92.8
541,Ryan Macdonald,06/08/2022,points_ipf_gl,92.79
542,Josh Cortez,09/24/2022,points_ipf_gl,92.77
543,Tanner Knox,03/26/2022,points_ipf_gl,92.77
544,John Le,03/26/2022,points_ipf_gl,92.76
545,John Hodge,09/10/2022,points_ipf_gl,92.75
546,Ryan Schroer,07/16/2022,points_ipf_gl,92.74
547,Kurt Navarro,06/08/2022,points_ipf_gl,92.74
548,Oscar Hernandez,09/24/2022,points_ipf_gl,92.71
549,Christion Thomas,06/08/2022,points_ipf_gl,92.68
550,Clayton Callender,05/29/2022,points_ipf_gl,92.68
551,Danny Lewis Jr,05/28/2022,points_ipf_gl,92.66
552,Michael Carter,06/25/2022,points_ipf_gl,92.66
553,Jackson Jackson,07/16/2022,points_ipf_gl,92.66
554,Ronald Trigg,03/19/2022,points_ipf_gl,92.65
555,Elly Jdaidany,07/16/2022,points_ipf_gl,92.65
556,Nathaniel Wolf,03/06/2022,points_ipf_gl,92.64
557,Taeyoung Yoon,08/28/2022,points_ipf_gl,92.62
558,Logan Jones,04/30/2022,points_ipf_gl,92.61
559,Brett Clevinger,09/10/2022,points_ipf_gl,92.59
560,Ethan Frank,05/07/2022,points_ipf_gl,92.57
561,Mark Davis,10/15/2022,points_ipf_gl,92.57
562,Jacob Breaux,10/15/2022,points_ipf_gl,92.56
563,Dillon Le,04/30/2022,points_ipf_gl,92.55
564,Luke Rybarczyk,09/10/2022,points_ipf_gl,92.55
565,John Zavala,06/18/2022,points_ipf_gl,92.53
566,Jeremiah Vivero,06/08/2022,points_ipf_gl,92.51
567,David James,02/26/2022,points_ipf_gl,92.49
568,Jeff Spawton,06/08/2022,points_ipf_gl,92.49
569,Max Heller,10/09/2022,points_ipf_gl,92.48
570,Daniel Aguirre,03/26/2022,points_ipf_gl,92.48
571,Semaj Antley,03/26/2022,points_ipf_gl,92.47
572,Ivan Kalustian-Carrier,05/29/2022,points_ipf_gl,92.44
573,Hunter Metzger,07/23/2022,points_ipf_gl,92.42
574,Brad Gernazian,05/21/2022,points_ipf_gl,92.42
575,Christopher DeCaro,03/26/2022,points_ipf_gl,92.42
576,Michael Walker,01/29/2022,points_ipf_gl,92.41
577,Ryan Donnelly,01/15/2022,points_ipf_gl,92.39
578,Collin McKinzie,03/26/2022,points_ipf_gl,92.38
579,Justin Taylor,03/19/2022,points_ipf_gl,92.38
580,Caleb Viau,05/29/2022,points_ipf_gl,92.37
581,Dhimitri Bido,04/23/2022,points_ipf_gl,92.36
582,Callum Hurst,06/08/2022,points_ipf_gl,92.35
583,Dafner Sylvain,03/26/2022,points_ipf_gl,92.35
584,Michael Vargas,09/10/2022,points_ipf_gl,92.32
585,Jacob Odum,03/26/2022,points_ipf_gl,92.32
586,Teddy Bien-Aime,02/26/2022,points_ipf_gl,92.32
587,Wilton Adames,02/20/2022,points_ipf_gl,92.31
588,Logan Sharp,03/26/2022,points_ipf_gl,92.29
589,Seth Ruff,03/26/2022,points_ipf_gl,92.29
590,John Jones Jr.,06/08/2022,points_ipf_gl,92.29
591,Alexander Ju,07/08/2022,points_ipf_gl,92.29
592,Ryan Janni,07/08/2022,points_ipf_gl,92.28
593,Brian Lore,03/26/2022,points_ipf_gl,92.27
594,Rei Rexha,02/12/2022,points_ipf_gl,92.27
595,Atilla Turan,07/08/2022,points_ipf_gl,92.24
596,Sage Ishibashi-To,02/26/2022,points_ipf_gl,92.21
597,Jack Encheff,04/02/2022,points_ipf_gl,92.2
598,David Benavides,02/19/2022,points_ipf_gl,92.19
599,Ray Bowring,04/02/2022,points_ipf_gl,92.18
600,Micah Rodahl,02/12/2022,points_ipf_gl,92.17
601,Evan Zheng,02/26/2022,points_ipf_gl,92.16
602,Billy Mangiamele,04/03/2022,points_ipf_gl,92.16
603,Lawrence Abner,04/30/2022,points_ipf_gl,92.16
604,Jared Bowens,03/30/2022,points_ipf_gl,92.14
605,Matt Cronin,04/10/2022,points_ipf_gl,92.13
606,William Chapman,03/19/2022,points_ipf_gl,92.13
607,Joshua Lipp,01/22/2022,points_ipf_gl,92.12
608,Andrew-Ted Fernandez,08/13/2022,points_ipf_gl,92.12
609,Joshua Opiela,02/26/2022,points_ipf_gl,92.1
610,Raymond Jin,03/26/2022,points_ipf_gl,92.1
611,Colby Humphries,02/26/2022,points_ipf_gl,92.09
612,KC Bell,07/03/2022,points_ipf_gl,92.09
613,Brian Ashbee,10/01/2022,points_ipf_gl,92.09
614,Thai Nguyen,06/25/2022,points_ipf_gl,92.09
615,Nico Bourgeois,01/15/2022,points_ipf_gl,92.08
616,Max Story,07/30/2022,points_ipf_gl,92.08
617,Randall Caldwell,06/18/2022,points_ipf_gl,92.08
618,Jinsik Kim,08/28/2022,points_ipf_gl,92.05
619,Brian Elderd,06/25/2022,points_ipf_gl,92.03
620,John Heilman,06/08/2022,points_ipf_gl,92.02
621,Airion Britt,02/12/2022,points_ipf_gl,92.02
622,Benjamin Dresher,08/13/2022,points_ipf_gl,92.02
623,Rey Espinoza,09/24/2022,points_ipf_gl,91.99
624,Thomas Swartout,06/25/2022,points_ipf_gl,91.97
625,Benjamin Rowe,06/08/2022,points_ipf_gl,91.97
626,Thomas Coons,07/16/2022,points_ipf_gl,91.95
627,Joseph Sisombath,06/08/2022,points_ipf_gl,91.94
628,Nick Squires,10/09/2022,points_ipf_gl,91.93
629,Kane Madison,07/09/2022,points_ipf_gl,91.92
630,Christian Maldonado,03/26/2022,points_ipf_gl,91.92
631,Michael Gagnier,02/13/2022,points_ipf_gl,91.91
632,John Jones,06/25/2022,points_ipf_gl,91.89
633,Allen Matsumoto,04/16/2022,points_ipf_gl,91.88
634,Joshua Baboff,01/22/2022,points_ipf_gl,91.88
635,Spencer Dillingham,05/21/2022,points_ipf_gl,91.88
636,Samuel Yuen,05/21/2022,points_ipf_gl,91.87
637,Jeremy Ciha,05/01/2022,points_ipf_gl,91.87
638,Sterling Walker,06/08/2022,points_ipf_gl,91.86
639,Andrew Sanchez,09/03/2022,points_ipf_gl,91.86
640,Travis Strait,03/19/2022,points_ipf_gl,91.83
641,Anthony Thomas,01/16/2022,points_ipf_gl,91.83
642,Justin Recio,05/14/2022,points_ipf_gl,91.81
643,Timothy Wang,08/13/2022,points_ipf_gl,91.78
644,Uriah Armstrong,01/15/2022,points_ipf_gl,91.78
645,Josue Leon,06/08/2022,points_ipf_gl,91.77
646,Alex LaRochelle,06/08/2022,points_ipf_gl,91.77
647,Daniel Xia,08/13/2022,points_ipf_gl,91.74
648,Nick Tylutki,02/12/2022,points_ipf_gl,91.74
649,Stephan Sukola,05/01/2022,points_ipf_gl,91.73
650,Mitchell Zaplatosch,03/19/2022,points_ipf_gl,91.69
651,Anthony Robertson,01/15/2022,points_ipf_gl,91.67
652,Brenton Fleming,10/15/2022,points_ipf_gl,91.67
653,Robert Parisi,02/26/2022,points_ipf_gl,91.66
654,Jacob Lyons,06/08/2022,points_ipf_gl,91.64
655,Tobias Campbell,03/23/2022,points_ipf_gl,91.62
656,Johnny Mejia,08/13/2022,points_ipf_gl,91.62
657,Mason Mitchell,06/18/2022,points_ipf_gl,91.61
658,Isaiah Carrington,02/20/2022,points_ipf_gl,91.61
659,Toney Lum,05/21/2022,points_ipf_gl,91.6
660,Erik Hogan,07/16/2022,points_ipf_gl,91.59
661,Tony Lee,09/10/2022,points_ipf_gl,91.57
662,Kai Rossbach,03/06/2022,points_ipf_gl,91.56
663,Fernando Ramos-Diaz,05/29/2022,points_ipf_gl,91.55
664,Kyle Pung,07/23/2022,points_ipf_gl,91.55
665,Michael Brown,04/23/2022,points_ipf_gl,91.54
666,Nick Westgate,05/01/2022,points_ipf_gl,91.54
667,Ylli Mujaj,09/03/2022,points_ipf_gl,91.53
668,Emmanuel Trujillo,02/05/2022,points_ipf_gl,91.53
669,Matthew Poisson,01/15/2022,points_ipf_gl,91.51
670,Jessie Badeaux,06/08/2022,points_ipf_gl,91.51
671,Gavino Vara,09/10/2022,points_ipf_gl,91.49
672,William Lam,05/14/2022,points_ipf_gl,91.49
673,Kevin Pak,01/22/2022,points_ipf_gl,91.49
674,Gregory Gyalog,10/08/2022,points_ipf_gl,91.47
675,Phil Lebel,01/15/2022,points_ipf_gl,91.46
676,Travis Shouse,03/26/2022,points_ipf_gl,91.46
677,Craig Jenkins,03/19/2022,points_ipf_gl,91.44
678,Kelsei Green,02/26/2022,points_ipf_gl,91.44
679,Justin Hinh,05/07/2022,points_ipf_gl,91.44
680,Nicholas Makras,05/01/2022,points_ipf_gl,91.42
681,Brandon Montlavo,08/13/2022,points_ipf_gl,91.41
682,Nick Stone,03/12/2022,points_ipf_gl,91.4
683,Vincent Cracchiolo,09/10/2022,points_ipf_gl,91.4
684,Dylan Kahn,04/16/2022,points_ipf_gl,91.38
685,Luis Vega,04/09/2022,points_ipf_gl,91.37
686,Keith Waddell,01/22/2022,points_ipf_gl,91.36
687,Nicolas Lugioyo,05/07/2022,points_ipf_gl,91.35
688,Spencer Mann,03/26/2022,points_ipf_gl,91.34
689,Bryan Dawe,01/22/2022,points_ipf_gl,91.33
690,Richard Moon,09/17/2022,points_ipf_gl,91.3
691,Jeff Cohen,06/08/2022,points_ipf_gl,91.27
692,Daniel Dietrich,03/26/2022,points_ipf_gl,91.27
693,Fernando Diaz,06/18/2022,points_ipf_gl,91.27
694,Nicholas Trakas,05/29/2022,points_ipf_gl,91.27
695,Jason Navarro,04/30/2022,points_ipf_gl,91.26
696,Ricky Huynh,03/30/2022,points_ipf_gl,91.24
697,Vaibhav Jaideep,08/06/2022,points_ipf_gl,91.24
698,Sean Luangpraseuth,03/26/2022,points_ipf_gl,91.21
699,Timothy Ochoa,09/03/2022,points_ipf_gl,91.21
700,Zachary Klapp,03/06/2022,points_ipf_gl,91.2
701,Joshua Sparks,07/10/2022,points_ipf_gl,91.2
702,Nikolas Cristan,03/23/2022,points_ipf_gl,91.17
703,Asher Johnson,02/26/2022,points_ipf_gl,91.17
704,Michael Crehan,09/10/2022,points_ipf_gl,91.16
705,Tyler Otto,07/09/2022,points_ipf_gl,91.14
706,Benjamin Bulson,07/08/2022,points_ipf_gl,91.13
707,Saimon Haddad,08/13/2022,points_ipf_gl,91.13
708,Marc Greco,06/18/2022,points_ipf_gl,91.12
709,Ilian Rojas,06/18/2022,points_ipf_gl,91.11
710,Dat Le,06/08/2022,points_ipf_gl,91.1
711,John Keeley,03/26/2022,points_ipf_gl,91.1
712,Newton Cheng,03/04/2022,points_ipf_gl,91.09
713,Mitchell Jones,10/15/2022,points_ipf_gl,91.08
714,Dylan McKinney,08/13/2022,points_ipf_gl,91.08
715,Walter Oro Abrahao,04/30/2022,points_ipf_gl,91.05
716,Kevin Luke,01/22/2022,points_ipf_gl,91.03
717,stanley zapata,08/13/2022,points_ipf_gl,91.01
718,Evan Ross,08/06/2022,points_ipf_gl,91.0
719,Tyler Tillmon,04/09/2022,points_ipf_gl,90.99
720,Kyle Morris,03/19/2022,points_ipf_gl,90.99
721,Hassan Sobh,08/27/2022,points_ipf_gl,90.98
722,Victor Truong,07/30/2022,points_ipf_gl,90.96
723,Carson LaBarre,03/22/2022,points_ipf_gl,90.96
724,MItchell Rees,02/26/2022,points_ipf_gl,90.95
725,Gabriel Reyes,04/09/2022,points_ipf_gl,90.94
726,Jacob Woods,03/19/2022,points_ipf_gl,90.91
727,Hashem Elsherbeny,03/26/2022,points_ipf_gl,90.9
728,Skyler Giannetti,01/22/2022,points_ipf_gl,90.88
729,Kristian Elvina,07/08/2022,points_ipf_gl,90.88
730,Jarrett Nowak,03/26/2022,points_ipf_gl,90.88
731,Andrew Graves,09/25/2022,points_ipf_gl,90.85
732,Krystian Garbicz,03/26/2022,points_ipf_gl,90.84
733,Kurt Duchow,01/22/2022,points_ipf_gl,90.83
734,Jordan Bywater,08/27/2022,points_ipf_gl,90.82
735,Maurice McFadden,08/27/2022,points_ipf_gl,90.81
736,Marc Lehnert,06/08/2022,points_ipf_gl,90.79
737,Timothy Wong,08/13/2022,points_ipf_gl,90.74
738,Sean Ramirez,04/30/2022,points_ipf_gl,90.74
739,Cameron Lunsford,03/26/2022,points_ipf_gl,90.74
740,Brandon Diamond,05/01/2022,points_ipf_gl,90.73
741,Kevin Nuesi,07/16/2022,points_ipf_gl,90.73
742,Ryan North,07/16/2022,points_ipf_gl,90.73
743,Jared Zapanta,05/07/2022,points_ipf_gl,90.72
744,Christian Kornegay,03/05/2022,points_ipf_gl,90.72
745,Norman Leflore,05/21/2022,points_ipf_gl,90.72
746,Christopher Padilla,06/08/2022,points_ipf_gl,90.71
747,Lance Madden,04/10/2022,points_ipf_gl,90.68
748,Benjamin Pendley,09/11/2022,points_ipf_gl,90.67
749,Brock Young,02/12/2022,points_ipf_gl,90.65
750,David Weisman,05/28/2022,points_ipf_gl,90.65
751,Ty Welsch,04/02/2022,points_ipf_gl,90.65
752,Chad Mara,05/07/2022,points_ipf_gl,90.61
753,Asante Gordon,03/23/2022,points_ipf_gl,90.59
754,Joaquin Jacquez,07/23/2022,points_ipf_gl,90.59
755,Randy Michael,07/23/2022,points_ipf_gl,90.59
756,Andre Butler,07/30/2022,points_ipf_gl,90.58
757,Thomas Swain,01/15/2022,points_ipf_gl,90.55
758,Aaron DelMundo,07/08/2022,points_ipf_gl,90.53
759,Yuheng Liu,03/26/2022,points_ipf_gl,90.52
760,Ethan Stone,03/23/2022,points_ipf_gl,90.52
761,Max Marohl,07/09/2022,points_ipf_gl,90.51
762,Alex Merino,01/22/2022,points_ipf_gl,90.46
763,Jj Ortiz,09/10/2022,points_ipf_gl,90.46
764,Matthew Griffin,04/16/2022,points_ipf_gl,90.45
765,Cyler Anderson,07/16/2022,points_ipf_gl,90.45
766,Mauricio Salazar,09/10/2022,points_ipf_gl,90.44
767,Tanzeem Mahtab,01/22/2022,points_ipf_gl,90.43
768,Ethan Winn,03/26/2022,points_ipf_gl,90.43
769,Conner Wilmas,04/09/2022,points_ipf_gl,90.43
770,Pavlo Mishchuk,07/16/2022,points_ipf_gl,90.43
771,Chase Ulrick,02/12/2022,points_ipf_gl,90.42
772,Jakweli Gist,03/22/2022,points_ipf_gl,90.41
773,Avery Collins,09/10/2022,points_ipf_gl,90.4
774,Ervin Rodriguez Lopez,04/23/2022,points_ipf_gl,90.4
775,Praveen Sakthivel,08/20/2022,points_ipf_gl,90.4
776,Natrevian Daniels,01/15/2022,points_ipf_gl,90.37
777,Zarek Jarvis,07/23/2022,points_ipf_gl,90.36
778,Denzel Robinson,09/03/2022,points_ipf_gl,90.36
779,Daniel Moseley,09/03/2022,points_ipf_gl,90.32
780,Rocky Molina Ii,04/23/2022,points_ipf_gl,90.32
781,Tyler Montanye,04/02/2022,points_ipf_gl,90.31
782,Kurt Labiano,06/08/2022,points_ipf_gl,90.31
783,Antonio Vaca,08/06/2022,points_ipf_gl,90.29
784,Brendan Parr,03/26/2022,points_ipf_gl,90.28
785,Michael Jolly,04/09/2022,points_ipf_gl,90.28
786,Luke Montavon,06/18/2022,points_ipf_gl,90.24
787,Jonathan Chaves,04/23/2022,points_ipf_gl,90.23
788,Kevin Kattiandagho,02/26/2022,points_ipf_gl,90.22
789,Jack Kirschler,02/12/2022,points_ipf_gl,90.22
790,Jose Gonzalez,06/08/2022,points_ipf_gl,90.21
791,Michael Chalupny,10/16/2022,points_ipf_gl,90.19
792,Matthew Garcia,10/15/2022,points_ipf_gl,90.18
793,Alexander Parsons,09/17/2022,points_ipf_gl,90.17
794,Justin Bailey,03/19/2022,points_ipf_gl,90.17
795,Jacob Park,03/23/2022,points_ipf_gl,90.16
796,Chris Appiah,03/20/2022,points_ipf_gl,90.12
797,Andrew Keller,10/01/2022,points_ipf_gl,90.11
798,Gerald Green Jr.,08/06/2022,points_ipf_gl,90.1
799,Matthew Gray,02/19/2022,points_ipf_gl,90.09
800,Ethan Yodanza,01/16/2022,points_ipf_gl,90.08
801,Albert Carter,05/07/2022,points_ipf_gl,90.06
802,José Lagunas,09/10/2022,points_ipf_gl,90.05
803,Faolan Gordon,06/25/2022,points_ipf_gl,90.04
804,Donald Stample,05/07/2022,points_ipf_gl,90.03
805,Evan Poust,07/08/2022,points_ipf_gl,90.0
806,Bernabe Piedra,04/09/2022,points_ipf_gl,89.98
807,Oonagh Aatnite,10/08/2022,points_ipf_gl,89.97
808,Ethan Maynord,08/27/2022,points_ipf_gl,89.95
809,Alvin Vo,03/26/2022,points_ipf_gl,89.95
810,Ollie George,06/18/2022,points_ipf_gl,89.93
811,Bryce Braun,03/12/2022,points_ipf_gl,89.92
812,Nathan Beeler,03/22/2022,points_ipf_gl,89.92
813,Joseph Koenecke,03/26/2022,points_ipf_gl,89.9
814,Michael Hafenbrack,06/08/2022,points_ipf_gl,89.89
815,Jason Jackson,06/08/2022,points_ipf_gl,89.88
816,Kevin Serrano,08/06/2022,points_ipf_gl,89.88
817,Tomohiro Sasaki,03/26/2022,points_ipf_gl,89.85
818,Ernesto limon,04/09/2022,points_ipf_gl,89.84
819,Dennis Bitetti,04/03/2022,points_ipf_gl,89.84
820,Nathan Zephir,08/13/2022,points_ipf_gl,89.84
821,Matt Baller,02/19/2022,points_ipf_gl,89.83
822,Michael Kuhns,03/05/2022,points_ipf_gl,89.83
823,Kyle Britt,01/29/2022,points_ipf_gl,89.82
824,Jason Garcia,07/08/2022,points_ipf_gl,89.81
825,Keagan Parker,08/27/2022,points_ipf_gl,89.8
826,Mars Watkins,01/29/2022,points_ipf_gl,89.79
827,Christopher Aceves,04/09/2022,points_ipf_gl,89.79
828,Devin Clark,03/05/2022,points_ipf_gl,89.78
829,Sam Limbardo,07/08/2022,points_ipf_gl,89.77
830,Paul Boss,04/02/2022,points_ipf_gl,89.77
831,Sebastian Padilla,08/13/2022,points_ipf_gl,89.76
832,Jonathan Braat,06/18/2022,points_ipf_gl,89.74
833,Moises Amaro,03/26/2022,points_ipf_gl,89.74
834,Dante Searcy,09/11/2022,points_ipf_gl,89.73
835,Michael Sysavan,07/23/2022,points_ipf_gl,89.72
836,Danh Tran,04/30/2022,points_ipf_gl,89.72
837,Alexander Mazzella,02/12/2022,points_ipf_gl,89.72
838,Chase Chapa,03/26/2022,points_ipf_gl,89.72
839,Ramsey Rohner,01/16/2022,points_ipf_gl,89.71
840,Aaron Javier,09/10/2022,points_ipf_gl,89.71
841,Alexander Ono,02/26/2022,points_ipf_gl,89.69
842,James Ramadhan,09/10/2022,points_ipf_gl,89.68
843,Nick Culbertson,04/30/2022,points_ipf_gl,89.67
844,Michael Reed,05/01/2022,points_ipf_gl,89.66
845,Bob Eucker,01/15/2022,points_ipf_gl,89.64
846,Seth Despres,06/18/2022,points_ipf_gl,89.64
847,Sergio Coronado,04/30/2022,points_ipf_gl,89.63
848,Tucker Richey,06/08/2022,points_ipf_gl,89.63
849,Ryan Hargett,08/27/2022,points_ipf_gl,89.62
850,Huy Hathuc,03/26/2022,points_ipf_gl,89.62
851,Jonathan Ocana,10/15/2022,points_ipf_gl,89.62
852,Evan Van Bree,03/23/2022,points_ipf_gl,89.62
853,Gavin Louviere,03/26/2022,points_ipf_gl,89.61
854,Juan Sanchez,04/02/2022,points_ipf_gl,89.61
855,Ryan Hanley,04/30/2022,points_ipf_gl,89.61
856,Zakk Weichbrodt,05/28/2022,points_ipf_gl,89.61
857,Brody Littrell,06/25/2022,points_ipf_gl,89.6
858,Bryce Grisez,03/26/2022,points_ipf_gl,89.6
859,Aiden Gates,09/17/2022,points_ipf_gl,89.57
860,Raymond Gonzales,05/29/2022,points_ipf_gl,89.57
861,Carter Trowbridge,03/26/2022,points_ipf_gl,89.57
862,Caden Frisby,04/16/2022,points_ipf_gl,89.56
863,Matthew Hood,09/04/2022,points_ipf_gl,89.56
864,Ben Silverstein,01/22/2022,points_ipf_gl,89.55
865,Dennis Nguyen,03/26/2022,points_ipf_gl,89.55
866,Nathan Kim,01/29/2022,points_ipf_gl,89.53
867,Alex Cano,03/26/2022,points_ipf_gl,89.53
868,Jonathan Graf,03/26/2022,points_ipf_gl,89.53
869,Nicholas Soto,05/29/2022,points_ipf_gl,89.51
870,Dallin Robertson,07/16/2022,points_ipf_gl,89.5
871,Jalen Nix,03/19/2022,points_ipf_gl,89.47
872,Robert Witzlib,04/23/2022,points_ipf_gl,89.47
873,David ledezma,02/26/2022,points_ipf_gl,89.46
874,Hilario Alfaro,02/26/2022,points_ipf_gl,89.46
875,Seth Botelho,06/04/2022,points_ipf_gl,89.43
876,Abner Nazario,05/29/2022,points_ipf_gl,89.42
877,Jovan Baez,06/18/2022,points_ipf_gl,89.4
878,Andres Bayuelo,08/13/2022,points_ipf_gl,89.39
879,Alex Smith,01/15/2022,points_ipf_gl,89.39
880,Dalvin Chevalier,06/25/2022,points_ipf_gl,89.38
881,Cody Morris,02/19/2022,points_ipf_gl,89.37
882,Sam Pence,03/26/2022,points_ipf_gl,89.37
883,Anthony Hill,08/13/2022,points_ipf_gl,89.37
884,Esau Rivas,02/19/2022,points_ipf_gl,89.36
885,Jackson Thomas,07/09/2022,points_ipf_gl,89.35
886,James Grunert,01/22/2022,points_ipf_gl,89.33
887,Cristian Benitez,09/10/2022,points_ipf_gl,89.33
888,Peter Nguyen,07/23/2022,points_ipf_gl,89.32
889,Phat Diep,08/13/2022,points_ipf_gl,89.32
890,Nathaniel Johnson,07/02/2022,points_ipf_gl,89.3
891,Daniel Villa,01/22/2022,points_ipf_gl,89.29
892,Jared Trantina,03/26/2022,points_ipf_gl,89.28
893,Miguel Alejandre,04/02/2022,points_ipf_gl,89.28
894,Vitaliy Matev,09/25/2022,points_ipf_gl,89.27
895,Vitaly Sender,03/05/2022,points_ipf_gl,89.27
896,Brandon McDowell,03/05/2022,points_ipf_gl,89.26
897,David Gulyan,04/30/2022,points_ipf_gl,89.26
898,Manny Batinga Jr,01/29/2022,points_ipf_gl,89.22
899,Jackson Berndt,06/18/2022,points_ipf_gl,89.2
900,Christopher Godlewski,09/10/2022,points_ipf_gl,89.17
901,Derek Canterbury,03/19/2022,points_ipf_gl,89.17
902,Haidyn Dejean,01/22/2022,points_ipf_gl,89.17
903,Michael Beaupre,07/30/2022,points_ipf_gl,89.17
904,Carter Wheat,06/08/2022,points_ipf_gl,89.17
905,Sean Kishel,05/21/2022,points_ipf_gl,89.16
906,David Goldstein,03/05/2022,points_ipf_gl,89.14
