,date,search_term,interest
183,2019-12-29,efficient heater,5
184,2020-01-05,efficient heater,9
185,2020-01-12,efficient heater,6
186,2020-01-19,efficient heater,11
187,2020-01-26,efficient heater,4
188,2020-02-02,efficient heater,6
189,2020-02-09,efficient heater,5
190,2020-02-16,efficient heater,12
191,2020-02-23,efficient heater,8
192,2020-03-01,efficient heater,5
193,2020-03-08,efficient heater,7
194,2020-03-15,efficient heater,6
195,2020-03-22,efficient heater,6
196,2020-03-29,efficient heater,4
197,2020-04-05,efficient heater,2
198,2020-04-12,efficient heater,2
199,2020-04-19,efficient heater,3
200,2020-04-26,efficient heater,3
201,2020-05-03,efficient heater,7
202,2020-05-10,efficient heater,4
203,2020-05-17,efficient heater,2
204,2020-05-24,efficient heater,6
205,2020-05-31,efficient heater,5
206,2020-06-07,efficient heater,3
207,2020-06-14,efficient heater,2
208,2020-06-21,efficient heater,3
209,2020-06-28,efficient heater,0
210,2020-07-05,efficient heater,4
211,2020-07-12,efficient heater,4
212,2020-07-19,efficient heater,5
213,2020-07-26,efficient heater,0
214,2020-08-02,efficient heater,9
215,2020-08-09,efficient heater,5
216,2020-08-16,efficient heater,2
217,2020-08-23,efficient heater,5
218,2020-08-30,efficient heater,11
219,2020-09-06,efficient heater,5
220,2020-09-13,efficient heater,3
221,2020-09-20,efficient heater,21
222,2020-09-27,efficient heater,26
223,2020-10-04,efficient heater,20
224,2020-10-11,efficient heater,22
225,2020-10-18,efficient heater,11
226,2020-10-25,efficient heater,17
227,2020-11-01,efficient heater,18
228,2020-11-08,efficient heater,19
229,2020-11-15,efficient heater,12
230,2020-11-22,efficient heater,17
231,2020-11-29,efficient heater,19
232,2020-12-06,efficient heater,26
233,2020-12-13,efficient heater,5
234,2020-12-20,efficient heater,6
235,2020-12-27,efficient heater,21
236,2021-01-03,efficient heater,26
237,2021-01-10,efficient heater,17
238,2021-01-17,efficient heater,15
239,2021-01-24,efficient heater,15
240,2021-01-31,efficient heater,15
241,2021-02-07,efficient heater,26
242,2021-02-14,efficient heater,9
243,2021-02-21,efficient heater,7
244,2021-02-28,efficient heater,4
245,2021-03-07,efficient heater,5
246,2021-03-14,efficient heater,10
247,2021-03-21,efficient heater,0
248,2021-03-28,efficient heater,5
249,2021-04-04,efficient heater,6
250,2021-04-11,efficient heater,5
251,2021-04-18,efficient heater,4
252,2021-04-25,efficient heater,5
253,2021-05-02,efficient heater,6
254,2021-05-09,efficient heater,3
255,2021-05-16,efficient heater,0
256,2021-05-23,efficient heater,6
257,2021-05-30,efficient heater,7
258,2021-06-06,efficient heater,0
259,2021-06-13,efficient heater,8
260,2021-06-20,efficient heater,4
261,2021-06-27,efficient heater,4
262,2021-07-04,efficient heater,0
263,2021-07-11,efficient heater,6
264,2021-07-18,efficient heater,0
265,2021-07-25,efficient heater,5
266,2021-08-01,efficient heater,5
267,2021-08-08,efficient heater,7
268,2021-08-15,efficient heater,4
269,2021-08-22,efficient heater,4
270,2021-08-29,efficient heater,3
271,2021-09-05,efficient heater,9
272,2021-09-12,efficient heater,11
273,2021-09-19,efficient heater,7
274,2021-09-26,efficient heater,21
275,2021-10-03,efficient heater,18
276,2021-10-10,efficient heater,23
277,2021-10-17,efficient heater,16
278,2021-10-24,efficient heater,11
279,2021-10-31,efficient heater,22
280,2021-11-07,efficient heater,13
281,2021-11-14,efficient heater,16
282,2021-11-21,efficient heater,34
283,2021-11-28,efficient heater,34
284,2021-12-05,efficient heater,29
285,2021-12-12,efficient heater,9
286,2021-12-19,efficient heater,16
287,2021-12-26,efficient heater,5
288,2022-01-02,efficient heater,21
289,2022-01-09,efficient heater,26
290,2022-01-16,efficient heater,27
291,2022-01-23,efficient heater,18
292,2022-01-30,efficient heater,12
293,2022-02-06,efficient heater,9
294,2022-02-13,efficient heater,14
295,2022-02-20,efficient heater,16
