,search_term,year,month,interest,date,interest_sa,price
78,efficient boiler,2019,11,31.25,2019-11-01,18.732817373561524,106.2
79,efficient heater,2019,11,21.0,2019-11-01,8.643705461738502,106.2
80,energy efficient,2019,11,16.0,2019-11-01,7.433562929849602,106.2
81,insulation,2019,11,62.5,2019-11-01,58.63618278552711,106.2
82,secondary glazing,2019,11,41.25,2019-11-01,31.023477996908028,106.2
83,triple glazing,2019,11,29.0,2019-11-01,35.86533090519164,106.2
84,double glazing,2019,12,36.0,2019-12-01,54.992367878907274,106.2
85,efficient boiler,2019,12,27.4,2019-12-01,27.433365793220382,106.2
86,efficient heater,2019,12,10.6,2019-12-01,9.159930116377009,106.2
87,energy efficient,2019,12,13.4,2019-12-01,10.678527258284852,106.2
88,insulation,2019,12,46.6,2019-12-01,60.00854649174848,106.2
89,secondary glazing,2019,12,22.4,2019-12-01,30.491879510381757,106.2
90,triple glazing,2019,12,23.6,2019-12-01,35.63733240088995,106.2
91,double glazing,2020,1,54.0,2020-01-01,54.0,106.3
92,efficient boiler,2020,1,13.5,2020-01-01,13.5,106.3
93,efficient heater,2020,1,9.5,2020-01-01,9.5,106.3
94,energy efficient,2020,1,14.5,2020-01-01,14.5,106.3
95,insulation,2020,1,56.25,2020-01-01,56.24999999999999,106.3
96,secondary glazing,2020,1,24.5,2020-01-01,24.5,106.3
97,triple glazing,2020,1,39.75,2020-01-01,39.75,106.3
98,double glazing,2020,2,59.25,2020-02-01,55.6703063825312,106.2
99,efficient boiler,2020,2,12.0,2020-02-01,11.683799293442647,106.2
100,efficient heater,2020,2,5.5,2020-02-01,10.351308034032376,106.2
101,energy efficient,2020,2,14.5,2020-02-01,15.918327721265333,106.2
102,insulation,2020,2,55.0,2020-02-01,59.312378799614294,106.2
103,secondary glazing,2020,2,29.0,2020-02-01,29.60923565661447,106.2
104,triple glazing,2020,2,29.75,2020-02-01,36.01511170990359,106.2
105,double glazing,2020,3,41.4,2020-03-01,43.004501653951294,106.2
106,efficient boiler,2020,3,13.6,2020-03-01,13.092598586885293,106.2
107,efficient heater,2020,3,2.4,2020-03-01,11.019282734731373,106.2
108,energy efficient,2020,3,10.0,2020-03-01,12.183877664752869,106.2
109,insulation,2020,3,41.6,2020-03-01,55.93309093256194,106.2
110,secondary glazing,2020,3,14.4,2020-03-01,23.56291575767336,106.2
111,triple glazing,2020,3,27.4,2020-03-01,37.12466786425164,106.2
112,double glazing,2020,4,40.75,2020-04-01,42.23280638253119,105.7
113,efficient boiler,2020,4,6.0,2020-04-01,17.80879929344264,105.7
114,efficient heater,2020,4,2.25,2020-04-01,12.351308034032364,105.7
115,energy efficient,2020,4,9.75,2020-04-01,12.04332772126533,105.7
116,insulation,2020,4,38.5,2020-04-01,56.68737879961429,105.7
117,secondary glazing,2020,4,12.75,2020-04-01,26.421735656614462,105.7
118,triple glazing,2020,4,20.0,2020-04-01,35.45261170990359,105.7
119,double glazing,2020,5,54.0,2020-05-01,60.21313713407535,105.8
120,efficient boiler,2020,5,9.6,2020-05-01,20.490212382943962,105.8
121,efficient heater,2020,5,3.0,2020-05-01,13.65875192721532,105.8
122,energy efficient,2020,5,12.0,2020-05-01,16.02804207323412,105.8
123,insulation,2020,5,43.4,2020-05-01,64.89903144728211,105.8
124,secondary glazing,2020,5,16.2,2020-05-01,31.286837471388885,105.8
125,triple glazing,2020,5,21.8,2020-05-01,41.75760767203572,105.8
126,double glazing,2020,6,62.5,2020-06-01,67.78420142492303,105.9
127,efficient boiler,2020,6,8.25,2020-06-01,22.717808193411724,105.9
128,efficient heater,2020,6,2.75,2020-06-01,14.66945897694551,105.9
129,energy efficient,2020,6,10.75,2020-06-01,16.560411680829617,105.9
130,insulation,2020,6,49.75,2020-06-01,71.60376701692672,105.9
131,secondary glazing,2020,6,16.5,2020-06-01,31.75191598127833,105.9
132,triple glazing,2020,6,27.0,2020-06-01,45.69702798752063,105.9
133,double glazing,2020,7,80.0,2020-07-01,80.24750368058666,106.2
134,efficient boiler,2020,7,26.5,2020-07-01,39.09238439347739,106.2
135,efficient heater,2020,7,3.5,2020-07-01,14.997579783430044,106.2
136,energy efficient,2020,7,17.0,2020-07-01,20.05778115260854,106.2
137,insulation,2020,7,62.0,2020-07-01,81.84110555985794,106.2
138,secondary glazing,2020,7,19.25,2020-07-01,34.824694412795495,106.2
139,triple glazing,2020,7,41.75,2020-07-01,53.32840152956045,106.2
140,double glazing,2020,8,75.0,2020-08-01,73.53149694988657,106.3
141,efficient boiler,2020,8,5.8,2020-08-01,9.010238293438993,106.3
142,efficient heater,2020,8,6.6,2020-08-01,11.971019935738804,106.3
143,energy efficient,2020,8,13.8,2020-08-01,10.646875740963816,106.3
144,insulation,2020,8,56.4,2020-08-01,71.79893687636692,106.3
145,secondary glazing,2020,8,22.0,2020-08-01,32.36821541359429,106.3
146,triple glazing,2020,8,27.4,2020-08-01,45.87797261803381,106.3
147,double glazing,2020,9,74.25,2020-09-01,72.94596613080537,106.3
148,efficient boiler,2020,9,19.75,2020-09-01,19.923690546352905,106.3
149,efficient heater,2020,9,14.0,2020-09-01,4.8606354475337445,106.3
150,energy efficient,2020,9,16.75,2020-09-01,7.619235210241376,106.3
151,insulation,2020,9,68.5,2020-09-01,74.05964936986791,106.3
152,secondary glazing,2020,9,24.5,2020-09-01,19.398974804807743,106.3
153,triple glazing,2020,9,38.5,2020-09-01,45.54996916399122,106.3
154,double glazing,2020,10,71.0,2020-10-01,68.49999999999999,104.7
