,date,search_term,interest,month,year,m_1,m_10,m_11,m_12,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,y_2018,y_2019,y_2020,y_2021,y_2022,interest_sa
50,2019-11-17,insulation,70,11,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66.13618278552711
51,2019-11-24,insulation,53,11,2019,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,49.13618278552711
52,2019-12-01,insulation,61,12,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,74.40854649174848
53,2019-12-08,insulation,51,12,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,64.40854649174848
54,2019-12-15,insulation,50,12,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,63.40854649174848
55,2019-12-22,insulation,30,12,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,43.40854649174848
56,2019-12-29,insulation,41,12,2019,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,54.40854649174848
57,2020-01-05,insulation,53,1,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,52.99999999999999
58,2020-01-12,insulation,55,1,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,54.99999999999999
59,2020-01-19,insulation,60,1,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,59.99999999999999
60,2020-01-26,insulation,57,1,2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,56.99999999999999
61,2020-02-02,insulation,56,2,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,60.312378799614294
62,2020-02-09,insulation,60,2,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,64.3123787996143
63,2020-02-16,insulation,54,2,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,58.312378799614294
64,2020-02-23,insulation,50,2,2020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,54.312378799614294
65,2020-03-01,insulation,52,3,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,66.33309093256194
66,2020-03-08,insulation,45,3,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,59.333090932561944
67,2020-03-15,insulation,39,3,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,53.333090932561944
68,2020-03-22,insulation,36,3,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50.333090932561944
69,2020-03-29,insulation,36,3,2020,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,50.333090932561944
70,2020-04-05,insulation,37,4,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,55.18737879961429
71,2020-04-12,insulation,37,4,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,55.18737879961429
72,2020-04-19,insulation,39,4,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,57.18737879961429
73,2020-04-26,insulation,41,4,2020,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,59.18737879961429
74,2020-05-03,insulation,40,5,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,61.49903144728211
75,2020-05-10,insulation,46,5,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,67.4990314472821
76,2020-05-17,insulation,45,5,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,66.4990314472821
77,2020-05-24,insulation,40,5,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,61.49903144728211
78,2020-05-31,insulation,46,5,2020,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,67.4990314472821
79,2020-06-07,insulation,52,6,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,73.85376701692672
80,2020-06-14,insulation,47,6,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,68.85376701692672
81,2020-06-21,insulation,49,6,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,70.85376701692672
82,2020-06-28,insulation,51,6,2020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,72.85376701692672
83,2020-07-05,insulation,83,7,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,102.84110555985794
84,2020-07-12,insulation,57,7,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,76.84110555985794
85,2020-07-19,insulation,55,7,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,74.84110555985794
86,2020-07-26,insulation,53,7,2020,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,72.84110555985794
87,2020-08-02,insulation,57,8,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,72.39893687636693
88,2020-08-09,insulation,53,8,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,68.39893687636693
89,2020-08-16,insulation,54,8,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,69.39893687636693
90,2020-08-23,insulation,57,8,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,72.39893687636693
91,2020-08-30,insulation,61,8,2020,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,76.39893687636693
92,2020-09-06,insulation,63,9,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,68.55964936986791
93,2020-09-13,insulation,61,9,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,66.55964936986791
94,2020-09-20,insulation,68,9,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,73.55964936986791
95,2020-09-27,insulation,82,9,2020,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,87.55964936986791
96,2020-10-04,insulation,75,10,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,73.88888888888887
97,2020-10-11,insulation,73,10,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,71.88888888888887
98,2020-10-18,insulation,70,10,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.88888888888887
99,2020-10-25,insulation,65,10,2020,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.888888888888864
100,2020-11-01,insulation,67,11,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.136182785527104
101,2020-11-08,insulation,70,11,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,66.13618278552711
102,2020-11-15,insulation,72,11,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,68.13618278552711
103,2020-11-22,insulation,67,11,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,63.136182785527104
104,2020-11-29,insulation,74,11,2020,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,70.13618278552711
105,2020-12-06,insulation,73,12,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,86.40854649174847
106,2020-12-13,insulation,53,12,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,66.40854649174847
107,2020-12-20,insulation,43,12,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,56.40854649174847
108,2020-12-27,insulation,63,12,2020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,76.40854649174847
109,2021-01-03,insulation,88,1,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,88.0
110,2021-01-10,insulation,82,1,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,82.0
111,2021-01-17,insulation,75,1,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75.0
112,2021-01-24,insulation,78,1,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,78.0
113,2021-01-31,insulation,75,1,2021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75.0
114,2021-02-07,insulation,100,2,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,104.31237879961431
115,2021-02-14,insulation,83,2,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,87.31237879961431
116,2021-02-21,insulation,67,2,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,71.31237879961431
117,2021-02-28,insulation,67,2,2021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,71.31237879961431
118,2021-03-07,insulation,64,3,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,78.33309093256194
119,2021-03-14,insulation,64,3,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,78.33309093256194
120,2021-03-21,insulation,68,3,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,82.33309093256194
121,2021-03-28,insulation,58,3,2021,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,72.33309093256194
122,2021-04-04,insulation,59,4,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,77.1873787996143
123,2021-04-11,insulation,58,4,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,76.1873787996143
124,2021-04-18,insulation,58,4,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,76.1873787996143
125,2021-04-25,insulation,58,4,2021,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,76.1873787996143
126,2021-05-02,insulation,56,5,2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,77.4990314472821
127,2021-05-09,insulation,55,5,2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,76.4990314472821
128,2021-05-16,insulation,49,5,2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,70.4990314472821
129,2021-05-23,insulation,48,5,2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,69.4990314472821
130,2021-05-30,insulation,46,5,2021,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,67.4990314472821
131,2021-06-06,insulation,46,6,2021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,67.85376701692674
